station,YYYY-MM-DD,radiation,metadata,,,,,,,,,,
BANKSTOWN,9/04/2010,17.9,,,,,,,,,,,
BANKSTOWN,10/04/2010,15.1,,,,,,,,,,,
BANKSTOWN,11/04/2010,16.9,,,,,,,,,,,
BANKSTOWN,12/04/2010,18.3,,,,,,,,,,,
BANKSTOWN,13/04/2010,16.8,,,,,,,,,,,
BANKSTOWN,14/04/2010,18,,,,,,,,,,,
BANKSTOWN,15/04/2010,16.6,,,,,,,,,,,
BANKSTOWN,16/04/2010,10.5,,,,,,,,,,,
BANKSTOWN,17/04/2010,14,,,,,,,,,,,
BANKSTOWN,18/04/2010,14.2,,,,,,,,,,,
BANKSTOWN,19/04/2010,13.3,,,,,,,,,,,
BANKSTOWN,20/04/2010,13.6,,,,,,,,,,,
BANKSTOWN,21/04/2010,16,,,,,,,,,,,
BANKSTOWN,22/04/2010,16,,,,,,,,,,,
BANKSTOWN,23/04/2010,15.6,,,,,,,,,,,
BANKSTOWN,24/04/2010,8.5,,,,,,,,,,,
BANKSTOWN,25/04/2010,4.3,,,,,,,,,,,
BANKSTOWN,26/04/2010,15.6,,,,,,,,,,,
BANKSTOWN,27/04/2010,8.6,,,,,,,,,,,
BANKSTOWN,28/04/2010,15.1,,,,,,,,,,,
BANKSTOWN,29/04/2010,15,,,,,,,,,,,
BANKSTOWN,30/04/2010,7.6,,,,,,,,,,,
BANKSTOWN,1/05/2010,9.6,,,,,,,,,,,
BANKSTOWN,2/05/2010,14.6,,,,,,,,,,,
BANKSTOWN,3/05/2010,11.4,,,,,,,,,,,
BANKSTOWN,4/05/2010,8.8,,,,,,,,,,,
BANKSTOWN,5/05/2010,7.1,,,,,,,,,,,
BANKSTOWN,6/05/2010,14.4,,,,,,,,,,,
BANKSTOWN,7/05/2010,14.3,,,,,,,,,,,
BANKSTOWN,8/05/2010,13.9,,,,,,,,,,,
BANKSTOWN,9/05/2010,13.7,,,,,,,,,,,
BANKSTOWN,10/05/2010,13.5,,,,,,,,,,,
BANKSTOWN,11/05/2010,13.3,,,,,,,,,,,
BANKSTOWN,12/05/2010,13.7,,,,,,,,,,,
BANKSTOWN,13/05/2010,12.8,,,,,,,,,,,
BANKSTOWN,14/05/2010,13,,,,,,,,,,,
BANKSTOWN,15/05/2010,11.8,,,,,,,,,,,
BANKSTOWN,16/05/2010,11.6,,,,,,,,,,,
BANKSTOWN,17/05/2010,5.5,,,,,,,,,,,
BANKSTOWN,18/05/2010,6.5,,,,,,,,,,,
BANKSTOWN,19/05/2010,10.7,,,,,,,,,,,
BANKSTOWN,20/05/2010,9.9,,,,,,,,,,,
BANKSTOWN,21/05/2010,9.3,,,,,,,,,,,
BANKSTOWN,22/05/2010,8.9,,,,,,,,,,,
BANKSTOWN,23/05/2010,7.2,,,,,,,,,,,
BANKSTOWN,24/05/2010,7.4,,,,,,,,,,,
BANKSTOWN,25/05/2010,3.4,,,,,,,,,,,
BANKSTOWN,26/05/2010,2.1,,,,,,,,,,,
BANKSTOWN,27/05/2010,7.5,,,,,,,,,,,
BANKSTOWN,28/05/2010,9.1,,,,,,,,,,,
BANKSTOWN,29/05/2010,2.9,,,,,,,,,,,
BANKSTOWN,30/05/2010,8.3,,,,,,,,,,,
BANKSTOWN,31/05/2010,6.8,,,,,,,,,,,
BANKSTOWN,1/06/2010,9.8,,,,,,,,,,,
BANKSTOWN,2/06/2010,9.4,,,,,,,,,,,
BANKSTOWN,3/06/2010,6,,,,,,,,,,,
BANKSTOWN,4/06/2010,4.1,,,,,,,,,,,
BANKSTOWN,5/06/2010,8.2,,,,,,,,,,,
BANKSTOWN,6/06/2010,9.7,,,,,,,,,,,
BANKSTOWN,7/06/2010,8.5,,,,,,,,,,,
BANKSTOWN,8/06/2010,10.6,,,,,,,,,,,
BANKSTOWN,9/06/2010,9.3,,,,,,,,,,,
BANKSTOWN,10/06/2010,10.8,,,,,,,,,,,
BANKSTOWN,11/06/2010,10.7,,,,,,,,,,,
BANKSTOWN,12/06/2010,10,,,,,,,,,,,
BANKSTOWN,13/06/2010,10.5,,,,,,,,,,,
BANKSTOWN,14/06/2010,10.5,,,,,,,,,,,
BANKSTOWN,15/06/2010,10.3,,,,,,,,,,,
BANKSTOWN,16/06/2010,10.2,,,,,,,,,,,
BANKSTOWN,17/06/2010,3.1,,,,,,,,,,,
BANKSTOWN,18/06/2010,10.4,,,,,,,,,,,
BANKSTOWN,19/06/2010,10.1,,,,,,,,,,,
BANKSTOWN,20/06/2010,10.1,,,,,,,,,,,
BANKSTOWN,21/06/2010,7.8,,,,,,,,,,,
BANKSTOWN,22/06/2010,7.7,,,,,,,,,,,
BANKSTOWN,23/06/2010,5.1,,,,,,,,,,,
BANKSTOWN,24/06/2010,9.2,,,,,,,,,,,
BANKSTOWN,25/06/2010,6.6,,,,,,,,,,,
BANKSTOWN,26/06/2010,5.8,,,,,,,,,,,
BANKSTOWN,27/06/2010,8.9,,,,,,,,,,,
BANKSTOWN,28/06/2010,10.6,,,,,,,,,,,
BANKSTOWN,29/06/2010,10.9,,,,,,,,,,,
BANKSTOWN,30/06/2010,10.6,,,,,,,,,,,
BANKSTOWN,1/07/2010,9.8,,,,,,,,,,,
BANKSTOWN,2/07/2010,4.4,,,,,,,,,,,
BANKSTOWN,3/07/2010,10.6,,,,,,,,,,,
BANKSTOWN,4/07/2010,10.4,,,,,,,,,,,
BANKSTOWN,5/07/2010,5,,,,,,,,,,,
BANKSTOWN,6/07/2010,8.4,,,,,,,,,,,
BANKSTOWN,7/07/2010,5,,,,,,,,,,,
BANKSTOWN,8/07/2010,7,,,,,,,,,,,
BANKSTOWN,9/07/2010,8.2,,,,,,,,,,,
BANKSTOWN,10/07/2010,7.3,,,,,,,,,,,
BANKSTOWN,11/07/2010,5.3,,,,,,,,,,,
BANKSTOWN,12/07/2010,6.7,,,,,,,,,,,
BANKSTOWN,13/07/2010,2.9,,,,,,,,,,,
BANKSTOWN,14/07/2010,10.9,,,,,,,,,,,
BANKSTOWN,15/07/2010,11.1,,,,,,,,,,,
BANKSTOWN,16/07/2010,10.2,,,,,,,,,,,
BANKSTOWN,17/07/2010,11.4,,,,,,,,,,,
BANKSTOWN,18/07/2010,11.6,,,,,,,,,,,
BANKSTOWN,19/07/2010,6.2,,,,,,,,,,,
BANKSTOWN,20/07/2010,11.4,,,,,,,,,,,
BANKSTOWN,21/07/2010,10.8,,,,,,,,,,,
BANKSTOWN,22/07/2010,9.8,,,,,,,,,,,
BANKSTOWN,23/07/2010,8.2,,,,,,,,,,,
BANKSTOWN,24/07/2010,11.5,,,,,,,,,,,
BANKSTOWN,25/07/2010,7.5,,,,,,,,,,,
BANKSTOWN,26/07/2010,8.1,,,,,,,,,,,
BANKSTOWN,27/07/2010,9,,,,,,,,,,,
BANKSTOWN,28/07/2010,2.7,,,,,,,,,,,
BANKSTOWN,29/07/2010,3.2,,,,,,,,,,,
BANKSTOWN,30/07/2010,9.4,,,,,,,,,,,
BANKSTOWN,31/07/2010,10,,,,,,,,,,,
BANKSTOWN,1/08/2010,12.9,,,,,,,,,,,
BANKSTOWN,2/08/2010,10.3,,,,,,,,,,,
BANKSTOWN,3/08/2010,10.4,,,,,,,,,,,
BANKSTOWN,4/08/2010,13.2,,,,,,,,,,,
BANKSTOWN,5/08/2010,12.9,,,,,,,,,,,
BANKSTOWN,6/08/2010,13.2,,,,,,,,,,,
BANKSTOWN,7/08/2010,12.1,,,,,,,,,,,
BANKSTOWN,8/08/2010,14.1,,,,,,,,,,,
BANKSTOWN,9/08/2010,14.1,,,,,,,,,,,
BANKSTOWN,10/08/2010,2.5,,,,,,,,,,,
BANKSTOWN,11/08/2010,12.3,,,,,,,,,,,
BANKSTOWN,12/08/2010,11.6,,,,,,,,,,,
BANKSTOWN,13/08/2010,14.6,,,,,,,,,,,
BANKSTOWN,14/08/2010,15.2,,,,,,,,,,,
BANKSTOWN,15/08/2010,13.3,,,,,,,,,,,
BANKSTOWN,16/08/2010,15.1,,,,,,,,,,,
BANKSTOWN,17/08/2010,16,,,,,,,,,,,
BANKSTOWN,18/08/2010,13,,,,,,,,,,,
BANKSTOWN,19/08/2010,15.2,,,,,,,,,,,
BANKSTOWN,20/08/2010,16.5,,,,,,,,,,,
BANKSTOWN,21/08/2010,15.6,,,,,,,,,,,
BANKSTOWN,22/08/2010,15.9,,,,,,,,,,,
BANKSTOWN,23/08/2010,6.2,,,,,,,,,,,
BANKSTOWN,24/08/2010,16.3,,,,,,,,,,,
BANKSTOWN,25/08/2010,17.1,,,,,,,,,,,
BANKSTOWN,26/08/2010,13.5,,,,,,,,,,,
BANKSTOWN,27/08/2010,14.7,,,,,,,,,,,
BANKSTOWN,28/08/2010,17.6,,,,,,,,,,,
BANKSTOWN,29/08/2010,17.1,,,,,,,,,,,
BANKSTOWN,30/08/2010,15.5,,,,,,,,,,,
BANKSTOWN,31/08/2010,17.9,,,,,,,,,,,
BANKSTOWN,1/09/2010,9.4,,,,,,,,,,,
BANKSTOWN,2/09/2010,5.4,,,,,,,,,,,
BANKSTOWN,3/09/2010,4.8,,,,,,,,,,,
BANKSTOWN,4/09/2010,3,,,,,,,,,,,
BANKSTOWN,5/09/2010,18.6,,,,,,,,,,,
BANKSTOWN,6/09/2010,15.1,,,,,,,,,,,
BANKSTOWN,7/09/2010,14.7,,,,,,,,,,,
BANKSTOWN,8/09/2010,18.9,,,,,,,,,,,
BANKSTOWN,9/09/2010,8.1,,,,,,,,,,,
BANKSTOWN,10/09/2010,10,,,,,,,,,,,
BANKSTOWN,11/09/2010,19.8,,,,,,,,,,,
BANKSTOWN,12/09/2010,18.9,,,,,,,,,,,
BANKSTOWN,13/09/2010,15.8,,,,,,,,,,,
BANKSTOWN,14/09/2010,3.8,,,,,,,,,,,
BANKSTOWN,15/09/2010,18.1,,,,,,,,,,,
BANKSTOWN,16/09/2010,19.7,,,,,,,,,,,
BANKSTOWN,17/09/2010,21.3,,,,,,,,,,,
BANKSTOWN,18/09/2010,21.3,,,,,,,,,,,
BANKSTOWN,19/09/2010,15.2,,,,,,,,,,,
BANKSTOWN,20/09/2010,17.7,,,,,,,,,,,
BANKSTOWN,21/09/2010,21,,,,,,,,,,,
BANKSTOWN,22/09/2010,18.6,,,,,,,,,,,
BANKSTOWN,23/09/2010,12.8,,,,,,,,,,,
BANKSTOWN,24/09/2010,22.1,,,,,,,,,,,
BANKSTOWN,25/09/2010,20.6,,,,,,,,,,,
BANKSTOWN,26/09/2010,22.4,,,,,,,,,,,
BANKSTOWN,27/09/2010,14.8,,,,,,,,,,,
BANKSTOWN,28/09/2010,23.1,,,,,,,,,,,
BANKSTOWN,29/09/2010,18.7,,,,,,,,,,,
BANKSTOWN,30/09/2010,24,,,,,,,,,,,
BANKSTOWN,1/10/2010,10.2,,,,,,,,,,,
BANKSTOWN,2/10/2010,9.4,,,,,,,,,,,
BANKSTOWN,3/10/2010,11.4,,,,,,,,,,,
BANKSTOWN,4/10/2010,13.3,,,,,,,,,,,
BANKSTOWN,5/10/2010,16.6,,,,,,,,,,,
BANKSTOWN,6/10/2010,7.7,,,,,,,,,,,
BANKSTOWN,7/10/2010,9.1,,,,,,,,,,,
BANKSTOWN,8/10/2010,20.5,,,,,,,,,,,
BANKSTOWN,9/10/2010,6.2,,,,,,,,,,,
BANKSTOWN,10/10/2010,20,,,,,,,,,,,
BANKSTOWN,11/10/2010,17.3,,,,,,,,,,,
BANKSTOWN,12/10/2010,16.3,,,,,,,,,,,
BANKSTOWN,13/10/2010,13.4,,,,,,,,,,,
BANKSTOWN,14/10/2010,20.8,,,,,,,,,,,
BANKSTOWN,15/10/2010,5.5,,,,,,,,,,,
BANKSTOWN,16/10/2010,24.5,,,,,,,,,,,
BANKSTOWN,17/10/2010,26,,,,,,,,,,,
BANKSTOWN,18/10/2010,27.2,,,,,,,,,,,
BANKSTOWN,19/10/2010,8.6,,,,,,,,,,,
BANKSTOWN,20/10/2010,26.8,,,,,,,,,,,
BANKSTOWN,21/10/2010,25.4,,,,,,,,,,,
BANKSTOWN,22/10/2010,24,,,,,,,,,,,
BANKSTOWN,23/10/2010,18.2,,,,,,,,,,,
BANKSTOWN,24/10/2010,3.7,,,,,,,,,,,
BANKSTOWN,25/10/2010,13.6,,,,,,,,,,,
BANKSTOWN,26/10/2010,26.4,,,,,,,,,,,
BANKSTOWN,27/10/2010,21.1,,,,,,,,,,,
BANKSTOWN,28/10/2010,16.4,,,,,,,,,,,
BANKSTOWN,29/10/2010,11,,,,,,,,,,,
BANKSTOWN,30/10/2010,25,,,,,,,,,,,
BANKSTOWN,31/10/2010,16.5,,,,,,,,,,,
BANKSTOWN,1/11/2010,7.9,,,,,,,,,,,
BANKSTOWN,2/11/2010,11.9,,,,,,,,,,,
BANKSTOWN,3/11/2010,25.9,,,,,,,,,,,
BANKSTOWN,4/11/2010,14.6,,,,,,,,,,,
BANKSTOWN,5/11/2010,16.3,,,,,,,,,,,
BANKSTOWN,6/11/2010,13.8,,,,,,,,,,,
BANKSTOWN,7/11/2010,28.1,,,,,,,,,,,
BANKSTOWN,8/11/2010,19.2,,,,,,,,,,,
BANKSTOWN,9/11/2010,21,,,,,,,,,,,
BANKSTOWN,10/11/2010,20.3,,,,,,,,,,,
BANKSTOWN,11/11/2010,26,,,,,,,,,,,
BANKSTOWN,12/11/2010,29.8,,,,,,,,,,,
BANKSTOWN,13/11/2010,23.8,,,,,,,,,,,
BANKSTOWN,14/11/2010,21.9,,,,,,,,,,,
BANKSTOWN,15/11/2010,3.1,,,,,,,,,,,
BANKSTOWN,16/11/2010,23.8,,,,,,,,,,,
BANKSTOWN,17/11/2010,16.1,,,,,,,,,,,
BANKSTOWN,18/11/2010,24.5,,,,,,,,,,,
BANKSTOWN,19/11/2010,7.7,,,,,,,,,,,
BANKSTOWN,20/11/2010,31.3,,,,,,,,,,,
BANKSTOWN,21/11/2010,31,,,,,,,,,,,
BANKSTOWN,22/11/2010,26.4,,,,,,,,,,,
BANKSTOWN,23/11/2010,29.1,,,,,,,,,,,
BANKSTOWN,24/11/2010,31.7,,,,,,,,,,,
BANKSTOWN,25/11/2010,31.1,,,,,,,,,,,
BANKSTOWN,26/11/2010,24.8,,,,,,,,,,,
BANKSTOWN,27/11/2010,25.8,,,,,,,,,,,
BANKSTOWN,28/11/2010,4.6,,,,,,,,,,,
BANKSTOWN,29/11/2010,6.8,,,,,,,,,,,
BANKSTOWN,30/11/2010,8.9,,,,,,,,,,,
BANKSTOWN,1/12/2010,5.4,,,,,,,,,,,
BANKSTOWN,2/12/2010,12.8,,,,,,,,,,,
BANKSTOWN,3/12/2010,18.8,,,,,,,,,,,
BANKSTOWN,4/12/2010,12.5,,,,,,,,,,,
BANKSTOWN,5/12/2010,19.2,,,,,,,,,,,
BANKSTOWN,6/12/2010,24.5,,,,,,,,,,,
BANKSTOWN,7/12/2010,27.9,,,,,,,,,,,
BANKSTOWN,8/12/2010,29.5,,,,,,,,,,,
BANKSTOWN,9/12/2010,12.4,,,,,,,,,,,
BANKSTOWN,10/12/2010,16.4,,,,,,,,,,,
BANKSTOWN,11/12/2010,32.2,,,,,,,,,,,
BANKSTOWN,12/12/2010,32.7,,,,,,,,,,,
BANKSTOWN,13/12/2010,31.9,,,,,,,,,,,
BANKSTOWN,14/12/2010,25.5,,,,,,,,,,,
BANKSTOWN,15/12/2010,28.9,,,,,,,,,,,
BANKSTOWN,16/12/2010,13.1,,,,,,,,,,,
BANKSTOWN,17/12/2010,13.7,,,,,,,,,,,
BANKSTOWN,18/12/2010,9,,,,,,,,,,,
BANKSTOWN,19/12/2010,16.2,,,,,,,,,,,
BANKSTOWN,20/12/2010,29.1,,,,,,,,,,,
BANKSTOWN,21/12/2010,33.8,,,,,,,,,,,
BANKSTOWN,22/12/2010,29.7,,,,,,,,,,,
BANKSTOWN,23/12/2010,26,,,,,,,,,,,
BANKSTOWN,24/12/2010,17.1,,,,,,,,,,,
BANKSTOWN,25/12/2010,32.2,,,,,,,,,,,
BANKSTOWN,26/12/2010,13,,,,,,,,,,,
BANKSTOWN,27/12/2010,6,,,,,,,,,,,
BANKSTOWN,28/12/2010,16.1,,,,,,,,,,,
BANKSTOWN,29/12/2010,32.5,,,,,,,,,,,
BANKSTOWN,30/12/2010,32.2,,,,,,,,,,,
BANKSTOWN,31/12/2010,31.8,,,,,,,,,,,
BANKSTOWN,1/01/2011,32.8,,,,,,,,,,,
