model_name,with_radiation,segment,rmse,mae,mape_pct,r2
baseline,True,overall,535.9891201750099,380.2152878461796,4.743791637584499,0.8160912742816944
baseline,True,Summer,752.2408075776129,523.9041035727253,6.098386292318174,0.7565800622050265
baseline,True,Autumn,415.97738722865193,307.09932319501127,4.03679050681494,0.8211197952889567
baseline,True,Winter,458.5105859088519,357.56580011846245,4.282995814072976,0.8448602372411659
baseline,True,Spring,452.9519878206826,334.9232900820956,4.584712526241956,0.7322024037844446
baseline,True,below_18,411.59040478278655,307.5694347712532,3.926999247049544,0.893283062913236
baseline,True,above_18,630.3813978026773,448.06566458389375,5.506666172998591,0.7412064272196397
baseline,False,overall,535.8325131518159,379.97417415544606,4.736390295229697,0.816198728665926
baseline,False,Summer,753.0886966789981,527.6840883153546,6.1467521362149515,0.7560310108152208
baseline,False,Autumn,416.70756753419727,307.1534690534171,4.035850329069465,0.8204912542046909
baseline,False,Winter,457.84327047179914,356.3018763658123,4.262661352450838,0.845311488859575
baseline,False,Spring,450.81419469556283,331.4408114262283,4.528699898896987,0.7347242819255186
baseline,False,below_18,410.2892344959181,305.4432369192929,3.894144953439567,0.8939567298415781
baseline,False,above_18,630.9159132436906,449.5851974422429,5.523037589289338,0.7407673666525993
lightgbm,True,overall,463.9951386111268,307.403003724203,3.74458716611304,0.8621784126576358
lightgbm,True,Summer,672.8509610932205,452.1811423011562,5.151781640794808,0.8052488088583323
lightgbm,True,Autumn,328.1905648843361,218.67998727985545,2.792501838599246,0.8886538973268527
lightgbm,True,Winter,368.0523741472205,278.2257081448312,3.2543272536457715,0.9000359976262938
lightgbm,True,Spring,412.23125124168746,283.41175355119634,3.8110515546503847,0.7781884484792166
lightgbm,True,below_18,323.1561697253443,229.06324312684262,2.8246004782855123,0.9342148646771962
lightgbm,True,above_18,564.6546784448481,380.5714234630557,4.603843967714619,0.7923592589373806
lightgbm,False,overall,472.4577777822547,311.0119117228014,3.78057823779634,0.8571052106319832
lightgbm,False,Summer,694.5957756531247,460.82850974839755,5.238450599343906,0.7924576911362677
lightgbm,False,Autumn,330.4545595142744,222.9791620059174,2.8530975934129734,0.887112375382919
lightgbm,False,Winter,378.8384668438427,286.8032907242704,3.3581881811572916,0.8940910823287676
lightgbm,False,Spring,403.3124191180106,276.3164423108731,3.7034308966400884,0.7876826303179518
lightgbm,False,below_18,329.83629860614246,234.51507519524776,2.890102519045175,0.9314669965788431
lightgbm,False,above_18,574.5323076434344,382.4590619446395,4.612272139590535,0.7850311073830447
xgboost,True,overall,470.5445634061589,311.176400216895,3.7916596373604734,0.8582601702326419
xgboost,True,Summer,687.622514350232,460.5405613888889,5.25209821774504,0.7966039359688798
xgboost,True,Autumn,334.85942530748747,222.76015384963767,2.8419138770187113,0.884082797155672
xgboost,True,Winter,366.54358990147784,278.6976049139493,3.257224185473189,0.9008538973617215
xgboost,True,Spring,413.83491221964175,285.6771620650183,3.8477607284644466,0.7764593101828636
xgboost,True,below_18,322.3061896140919,229.05511450183192,2.8230902634769297,0.9345604716956566
xgboost,True,above_18,575.4864702025601,387.87672016778896,4.696292099268926,0.7843164892840961
xgboost,False,overall,467.73617682050786,306.67147965753423,3.7275558257900974,0.8599470342662676
xgboost,False,Summer,689.4630599651432,457.2742186805556,5.195835229432354,0.7955136262522096
xgboost,False,Autumn,326.2904973596377,217.85185554800725,2.78553878615656,0.8899394472816087
xgboost,False,Winter,367.25442050306765,276.9087636548913,3.2322938216112345,0.9004689804124029
xgboost,False,Spring,404.20747907280355,277.6091585393773,3.7284846796685347,0.7867392046363345
xgboost,False,below_18,320.21480343686744,227.2035924004255,2.795001737336821,0.935406966747355
xgboost,False,above_18,572.1394650211748,380.89355649630204,4.598550432524083,0.7868180062199663
