model_name,with_radiation,segment,rmse,mae,mape_pct,r2
xgboost,False,Autumn,326.2904973596377,217.85185554800725,2.78553878615656,0.8899394472816087
lstm,True,Spring,392.63962868826,269.050562797619,3.622435063984831,0.7987709878458814
lstm,False,Summer,664.9952890992595,465.411821074865,5.33995594017455,0.809922899476329
xgboost,True,Winter,366.5435899014778,278.6976049139493,3.257224185473189,0.9008538973617216
lightgbm,True,above_18,564.6546784448481,380.5714234630557,4.603843967714619,0.7923592589373806
xgboost,False,below_18,320.21480343686744,227.2035924004255,2.795001737336821,0.935406966747355
lightgbm,True,overall,463.9951386111268,307.403003724203,3.74458716611304,0.8621784126576358
