model_name_rad,with_radiation_rad,segment,rmse_rad,mae_rad,mape_pct_rad,r2_rad,model_name_no_rad,with_radiation_no_rad,rmse_no_rad,mae_no_rad,mape_pct_no_rad,r2_no_rad,r2_diff
lightgbm,True,Autumn,328.1905648843361,218.67998727985545,2.792501838599246,0.8886538973268527,xgboost,False,326.2904973596377,217.85185554800725,2.78553878615656,0.8899394472816087,-0.001285549954755938
lstm,True,Spring,392.63962868826,269.050562797619,3.622435063984831,0.7987709878458814,lstm,False,398.1594450362265,271.0377494276557,3.6501069266230695,0.7930733726468155,0.005697615199065864
lightgbm,True,Summer,672.8509610932205,452.1811423011562,5.151781640794808,0.8052488088583323,lstm,False,664.9952890992595,465.411821074865,5.33995594017455,0.809922899476329,-0.004674090617996729
xgboost,True,Winter,366.5435899014778,278.6976049139493,3.257224185473189,0.9008538973617216,xgboost,False,367.2544205030677,276.9087636548913,3.2322938216112345,0.9004689804124029,0.00038491694931874765
lightgbm,True,above_18,564.6546784448481,380.5714234630557,4.603843967714619,0.7923592589373806,lstm,False,570.2679331124482,397.7446141111111,4.844288407013629,0.7876826443138163,0.004676614623564279
xgboost,True,below_18,322.3061896140919,229.05511450183192,2.8230902634769297,0.9345604716956566,xgboost,False,320.21480343686744,227.2035924004255,2.795001737336821,0.935406966747355,-0.000846495051698426
lightgbm,True,overall,463.9951386111268,307.403003724203,3.74458716611304,0.8621784126576358,xgboost,False,467.7361768205079,306.67147965753423,3.727555825790098,0.8599470342662676,0.0022313783913682217
